CustomerID,Name,Region,CustomerSince,LifetimePurchaseAmtUSD,PreferredContactMethod
1000.0,ROBERT GOMEZ,west,2024-02-25,95.4,call
1001.0,JOHN SILVA,east,2020-12-01,161.89,sms
1002.0,MARK MARSHALL,central,2020-08-08,205.45,email
1003.0,DAVID BRENNAN,north,2020-05-21,754.5,sms
1004.0,KERRY COLLINS,north,2023-09-12,64.45,sms
1005.0,JESSICA MORA,south,2021-08-05,398.87,email
1006.0,HANNAH RAY,west,2021-07-03,197.5,sms
1007.0,DAVID KIM,west,2020-05-20,764.52,call
1008.0,WILLIAM RAMIREZ,east,2023-09-15,354.26,email
1009.0,ZACHARY BELL JR.,east,2023-04-20,79.45,sms
1010.0,MIKE DAVIS,east,2022-03-23,245.55,sms
1011.0,AMANDA MYERS,west,2021-09-05,165.45,call
1012.0,TARA MILLER,north,2020-08-10,197.85,email
1013.0,ALYSSA MORGAN,north,2022-07-22,21.35,email
1014.0,CINDY WOODS,east,2024-04-02,17.58,email
1015.0,JENNIFER RODGERS,north,2023-02-12,450.45,call
N/A,N/A,n/a,,N/A,n/a
1016.0,ANDREA ROBERTS,east,2021-05-16,654.45,sms
1017.0,BRITTNEY BURNETT,north,2020-07-03,125.68,sms
1018.0,EDWIN GARRISON,south-west,2020-08-31,145.87,sms
1019.0,MICHELLE TORRES,central,2020-11-18,165.63,call
1020.0,MICHELLE BREWER,east,2021-07-14,241.11,email
1021.0,AARON BURNETT,south,2024-02-13,10.75,sms
1022.0,AUSTIN GUTIERREZ,east,2021-11-25,545.52,call
1023.0,DUSTIN MEDINA,east,2021-06-14,499.55,email
1024.0,ANDRES AVILA,central,2022-09-19,46.47,email
1025.0,GARRETT LEWIS,south,2023-08-04,85.48,call
1026.0,GARY WALLS,north,2023-10-05,128.21,call
1052.0,BRANDON HINTON,south-west,2022-11-10,143.52,sms
1027.0,ANTHONY SCHROEDER,east,2020-10-04,385.84,call
1028.0,HALEY WAGNER,west,2023-11-03,67.45,sms
1029.0,GINA POWERS,west,2022-10-26,24.58,sms
1030.0,ALICE ROBINSON,east,2021-08-06,249.4,call
1031.0,JESSICA FRAZIER,west,2021-10-20,540.59,email
1028.0,HALEY WAGNER,west,2023-11-03,406.0,sms
1032.0,TERRI LONG,east,2022-10-23,164.2,sms
1033.0,PAUL PERKINS,east,2022-03-16,10.58,email
1034.0,HEATHER SMITH,central,2022-09-16,64.45,call
1035.0,LORRAINE RODRIGUEZ,east,2022-09-26,65.4,sms
1036.0,ROBERT BISHOP,south-west,2020-09-14,245.68,sms
1037.0,LISA SANDERS,west,2020-06-03,164.5,sms
1038.0,JASON FORD,east,2023-10-09,5.45,email
1039.0,BRANDY GOOD,west,2023-05-21,19.54,sms
1040.0,ANGEL LEE,central,2022-04-08,164.51,sms
1041.0,DAVID BELTRAN,east,2021-01-18,153.25,email
1042.0,CHRISTOPHER DODSON,north,2023-10-30,34.55,sms
1043.0,ERIC PENA,west,2022-06-30,16.45,call
1033.0,PAUL PERKINS,east,2022-03-16,50.0,email
1044.0,ANITA HUERTA,east,2022-04-08,19.48,email
1045.0,DR. SUSAN BAILEY,north,2020-10-02,520.45,sms
1046.0,TYLER COLON,central,2021-03-03,234.48,sms
1047.0,ASHLEY PEARSON,west,2020-10-04,455.5,call
1048.0,DR. DONALD PROCTOR,north,2024-03-17,12.58,email
1049.0,REBECCA JORDAN,west,2022-10-08,143.52,email
1050.0,JEFFREY MCLAUGHLIN,east,2022-03-28,134.48,email
1051.0,AMY NGUYEN,central,2024-02-13,55.58,call
1052.0,BRANDON HINTON,south-west,2022-11-10,45.21,sms
1053.0,BENJAMIN CLINE,east,2022-01-25,11.24,sms
1054.0,LAURA MCDONALD,south,2022-12-03,16.57,sms
1055.0,WILLIAM BENITEZ,east,2020-11-04,168.5,call
1056.0,KRISTINA WILSON,east,2023-05-15,134.2,email
1057.0,KATHY HALL,north,2023-10-27,159.54,sms
1058.0,STEVEN JACKSON,central,2020-06-26,234.5,call
1059.0,STEVE MASSEY,west,2020-08-06,342.56,email
1060.0,MR. CHRISTOPHER THOMPSON,south,2023-04-10,15.5,email
1061.0,TAYLOR KAUFMAN,north,2021-07-23,185.64,call
1062.0,ASHLEY HARMON,south,2024-02-13,46.58,call
1063.0,HOWARD CASE,south-west,2021-02-15,754.2,call
1064.0,JOSHUA CLINE,east,2024-02-19,12.54,sms
1065.0,DANIEL ADAMS,central,2023-07-02,103.58,sms
1066.0,DERRICK MYERS,north,2022-04-06,169.57,call
1067.0,LAWRENCE PEARSON,east,2023-04-29,164.58,email
1068.0,MELISSA GUTIERREZ,east,2023-12-25,103.22,sms
1069.0,VIRGINIA WARREN,north,2023-08-24,12.45,email
1070.0,BRITTANY JOHNSON,east,2021-06-04,385.45,call
1071.0,CHRISTOPHER FROST,east,2020-08-21,166.54,sms
1072.0,SHANNON SCHMITT,east,2022-08-23,764.52,sms
1073.0,MATTHEW CLARK,central,2023-08-21,254.87,sms
1074.0,ALYSSA EVANS,west,2021-10-27,523.35,email
1075.0,JOSEPH CHAVEZ,north,2023-01-01,10.25,sms
1076.0,GLENN SHELTON,east,2024-05-01,5.45,sms
1077.0,AMY ESPINOZA,north,2021-05-29,456.42,email
1078.0,DANIELLE FULLER,south-west,2023-12-08,164.52,sms
1079.0,ZACHARY THOMPSON MD,east,2022-09-05,142.23,call
1080.0,THOMAS PARKER,south-west,2023-02-28,485.2,email
1081.0,RYAN WHITE,south,2020-09-04,854.63,sms
1082.0,CONNOR MARTIN,central,2023-01-05,432.58,sms
1083.0,JACQUELINE BISHOP,south,2020-06-05,467.52,call
1084.0,MARTHA MCCALL,north,2022-05-31,245.56,email
1085.0,STEVEN WRIGHT,central,2021-08-22,453.2,email
1086.0,ROBERT RODRIGUEZ,east,2023-03-01,543.65,email
1087.0,CARLA TRAN,east,2020-07-22,603.52,call
1088.0,LINDSAY TORRES,east,2021-12-30,124.25,sms
1089.0,MATTHEW HERNANDEZ,north,2023-04-12,78.54,sms
1090.0,NICHOLAS DUNLAP,south,2020-10-11,433.25,sms
1091.0,BRIANNA THOMAS,south-west,2023-05-23,234.56,call
1092.0,TIMOTHY HILL,west,2023-09-07,165.53,email
1093.0,CHRISTIAN MEDINA,east,2023-02-04,198.54,sms
1094.0,ROBERT JONES,west,2023-11-18,85.65,call
1095.0,DR. JASON SCOTT,south,2021-04-07,203.54,email
1096.0,PATRICIA ROGERS,south,2024-01-10,76.45,email
1097.0,LAURA JONES,east,2023-12-07,125.85,call
1098.0,JEFFREY MAXWELL,west,2022-01-27,235.69,call
1099.0,LORI HOWARD,east,2021-02-27,435.85,call
1100.0,MICHAEL SIMON,east,2020-12-27,624.58,sms
1101.0,RYAN MARTIN,south-west,2020-11-14,724.44,sms
1102.0,ROBERT HANSEN,central,2022-11-19,234.52,call
1103.0,MEGAN CHANDLER,east,2023-06-25,102.53,email
1104.0,DAVID HERRERA,west,2021-04-01,305.42,sms
1105.0,TAYLOR CLARKE,central,2023-03-11,134.56,email
1106.0,JENNIFER EWING,east,2023-05-16,122.76,call
1107.0,EMILY HOFFMAN,west,2023-06-09,185.65,sms
1108.0,SHARON BAUTISTA,central,2022-07-31,245.54,sms
1109.0,AARON GARCIA,east,2023-07-31,267.52,sms
1110.0,MELISSA GRIMES,south,2024-03-14,134.54,email
1111.0,RONALD CHAVEZ,south-west,2021-06-24,453.85,sms
1112.0,JOSEPH FLORES,east,2021-04-03,432.52,sms
1113.0,LOUIS JONES,central,2021-07-04,612.21,email
1114.0,GRACE PRICE,south,2022-03-25,423.45,sms
1115.0,GINA BANKS,west,2023-09-16,12.25,call
1116.0,MELISSA RIVERA,central,2021-10-25,345.85,email
