CustomerID,Name,Region,CustomerSince,LifetimePurchaseAmt,PreferredContactMethod
1000,Robert Gomez,West,2/25/2024,95.4,Call
1001,John Silva,East,12/1/2020,161.89,SMS
1002,Mark Marshall,Central,8/8/2020,205.45,Email
1003,David Brennan,North,5/21/2020,754.5,SMS
1004,Kerry Collins,North,9/12/2023,64.45,SMS
1005,Jessica Mora,South,8/5/2021,398.87,Email
1006,Hannah Ray,West,7/3/2021,197.5,SMS
1007,David Kim,West,5/20/2020,764.52,Call
1008,William Ramirez,EAST,9/15/2023,354.26,Email
1009,Zachary Bell Jr.,East,4/20/2023,79.45,SMS
1010,Mike Davis,East,3/23/2022,245.55,SMS
1011,Amanda Myers,West,9/5/2021,165.45,Call
1012,Tara Miller,North,8/10/2020,197.85,Email
1013,Alyssa Morgan,North,7/22/2022,21.35,Email
1014,Cindy Woods,East,4/2/2024,17.58,Email
1015,Jennifer Rodgers,North,2/12/2023,450.45,Call
1016,Andrea Roberts,EAST,5/16/2021,654.45,SMS
1017,Brittney Burnett,North,7/3/2020,125.68,SMS
1018,Edwin Garrison,south-west,8/31/2020,145.87,SMS
1019,Michelle Torres,Central,11/18/2020,165.63,Call
1020,Michelle Brewer,East,7/14/2021,241.11,Email
1021,Aaron Burnett,South,2/13/2024,10.75,SMS
1022,Austin Gutierrez,EAST,11/25/2021,545.52,Call
1023,Dustin Medina,east,6/14/2021,499.55,Email
1024,Andres Avila,Central,9/19/2022,46.47,Email
1025,Garrett Lewis,South,8/4/2023,85.48,Call
1026,Gary Walls,North,10/5/2023,128.21,Call
1027,Anthony Schroeder,east,10/4/2020,385.84,Call
1028,Haley Wagner,West,11/3/2023,67.45,SMS
1029,Gina Powers,West,10/26/2022,24.58,SMS
1030,Alice Robinson,EAST,8/6/2021,249.4,Call
1031,Jessica Frazier,West,10/20/2021,540.59,Email
1032,Terri Long,east,10/23/2022,164.2,SMS
1033,Paul Perkins,east,3/16/2022,10.58,Email
1034,Heather Smith,Central,9/16/2022,64.45,Call
1035,Lorraine Rodriguez,East,9/26/2022,65.4,SMS
1036,Robert Bishop,south-west,9/14/2020,245.68,SMS
1037,Lisa Sanders,West,6/3/2020,164.5,SMS
1038,Jason Ford,EAST,10/9/2023,5.45,Email
1039,Brandy Good,West,5/21/2023,19.54,SMS
1040,Angel Lee,Central,4/8/2022,164.51,SMS
1041,David Beltran,east,1/18/2021,153.25,Email
1042,Christopher Dodson,North,10/30/2023,34.55,SMS
1043,Eric Pena,West,6/30/2022,16.45,Call
1044,Anita Huerta,East,4/8/2022,19.48,Email
1045,Dr. Susan Bailey,North,10/2/2020,520.45,SMS
1046,Tyler Colon,Central,3/3/2021,234.48,SMS
1047,Ashley Pearson,West,10/4/2020,455.5,Call
1048,Dr. Donald Proctor,North,3/17/2024,12.58,Email
1049,Rebecca Jordan,West,10/8/2022,143.52,Email
